rule_no,age,thallium_stress_test,blood_pressure,cholesterol,chest_pain,effective_training_weight,confidence,c0_intercept,c1_age,c2_thallium,c3_blood_pressure,c4_cholesterol,c5_chest_pain
1,young,normal,low,low,typical_angina,0.0264,low,-0.0,-0.0,0.0,0.0,0.0,0.0
2,young,normal,low,low,atypical_angina,0.008,low,-0.0,0.0,0.0,-0.0,0.0,0.0
3,young,normal,low,low,non_anginal,0.0384,low,-0.0,0.0,0.0,0.0,0.0,0.0
4,young,normal,low,low,asymptomatic,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
5,young,normal,low,medium,typical_angina,0.0037,low,-0.0,-0.0,0.0,0.0,0.0,0.0
6,young,normal,low,medium,atypical_angina,0.145,low,-0.0,-0.0,0.0,-0.0,0.0,0.0
7,young,normal,low,medium,non_anginal,0.1627,low,-0.0,0.0,0.0,0.0,0.0,0.0
8,young,normal,low,medium,asymptomatic,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
9,young,normal,low,high,typical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
10,young,normal,low,high,atypical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
11,young,normal,low,high,non_anginal,0.0508,low,-0.0,-0.0,0.0,0.0,0.0,0.0
12,young,normal,low,high,asymptomatic,0.0992,low,0.07831556863732884,2.82687790703634e-05,-7.882184161007327e-11,2.5787529067801985e-05,6.2714000002964215e-06,1.5837619103220876e-10
13,young,normal,medium,low,typical_angina,0.1056,low,-0.0,-0.0,0.0,0.0,0.0,0.0
14,young,normal,medium,low,atypical_angina,0.1787,low,-0.0,-0.0,0.0,0.0,-0.0,0.0
15,young,normal,medium,low,non_anginal,0.22,low,-0.0,-0.0,0.0,0.0,0.0,0.0
16,young,normal,medium,low,asymptomatic,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
17,young,normal,medium,medium,typical_angina,0.0147,low,-0.0,-0.0,0.0,0.0,0.0,0.0
18,young,normal,medium,medium,atypical_angina,1.0733,low,-0.0,-0.0,0.0,0.0,0.0,0.0
19,young,normal,medium,medium,non_anginal,0.813,low,-0.0,0.0,0.0,0.0,0.0,0.0
20,young,normal,medium,medium,asymptomatic,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
21,young,normal,medium,high,typical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
22,young,normal,medium,high,atypical_angina,0.2447,low,-0.0,-0.0,0.0,0.0,0.0,0.0
23,young,normal,medium,high,non_anginal,0.4043,low,-0.0,0.0,0.0,0.0,-0.0,0.0
24,young,normal,medium,high,asymptomatic,0.0304,low,0.0691943236646891,4.365251380181663e-06,-6.37235957213638e-11,-3.435149749962827e-06,-1.64620699409928e-06,1.2803938836681186e-10
25,young,normal,high,low,typical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
26,young,normal,high,low,atypical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
27,young,normal,high,low,non_anginal,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
28,young,normal,high,low,asymptomatic,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
29,young,normal,high,medium,typical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
30,young,normal,high,medium,atypical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
31,young,normal,high,medium,non_anginal,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
32,young,normal,high,medium,asymptomatic,0.0217,low,-0.0,0.0,0.0,-0.0,0.0,0.0
33,young,normal,high,high,typical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
34,young,normal,high,high,atypical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
35,young,normal,high,high,non_anginal,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
36,young,normal,high,high,asymptomatic,0.0058,low,-0.0,0.0,0.0,-0.0,0.0,0.0
37,young,fixed_defect,low,low,typical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
38,young,fixed_defect,low,low,atypical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
39,young,fixed_defect,low,low,non_anginal,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
40,young,fixed_defect,low,low,asymptomatic,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
41,young,fixed_defect,low,medium,typical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
42,young,fixed_defect,low,medium,atypical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
43,young,fixed_defect,low,medium,non_anginal,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
44,young,fixed_defect,low,medium,asymptomatic,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
45,young,fixed_defect,low,high,typical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
46,young,fixed_defect,low,high,atypical_angina,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
47,young,fixed_defect,low,high,non_anginal,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0
